,accession,strain
1754,HQ668201,746/CQ/CHN/2010
1755,HQ668202,578/SD/CHN/2010
1756,HQ668203,597/SD/CHN/2010
1757,HQ668204,211/SD/CHN/2010
1758,HQ668205,703/CQ/CHN/2010
1759,HQ668206,379/SD/CHN/2010
1760,HQ668207,385/SD/CHN/2010
1761,HQ668208,170/CQ/CHN/2010
1762,HQ668209,769/CQ/CHN/2010
1763,HQ668210,533/CQ/CHN/2010
1764,HQ668211,535/CQ/CHN/2010
1765,HQ668212,652/SD/CHN/2010
1766,HQ668213,800/CQ/CHN/2010
1767,HQ668214,476/SD/CHN/2010
1768,HQ668215,865/SD/CHN/2010
1769,HQ668216,755/CQ/CHN/2010
1770,HQ668217,765/CQ/CHN/2010
1771,HQ668218,772/CQ/CHN/2010
1772,HQ668219,712/CQ/CHN/2010
1773,HQ668220,611/SD/CHN/2010
1774,HQ668221,780/CQ/CHN/2010
1775,HQ668222,803/CQ/CHN/2010
1776,HQ668223,1245/HN/CHN/2010
1777,HQ668224,1217/HN/CHN/2010
1778,HQ668225,374/SD/CHN/2010
1779,HQ668226,624/SD/CHN/2010
1780,HQ668228,713/CQ/CHN/2010
1781,HQ668229,771/CQ/CHN/2010
1782,HQ668230,625/SD/CHN/2010
1783,HQ668231,220/SD/CHN/2010
1784,HQ668232,762/CQ/CHN/2010
1785,HQ668233,410/SD/CHN/2010
1786,HQ668234,411/SD/CHN/2010
1787,HQ668235,621/SD/CHN/2010
1788,HQ668236,654/SD/CHN/2010
1789,HQ668237,388/SD/CHN/2010
1790,HQ668238,464/SD/CHN/2010
1791,HQ668239,790/CQ/CHN/2010
1792,HQ668240,724/CQ/CHN/2010
1793,HQ668241,359/SD/CHN/2010
1794,HQ668242,371/SD/CHN/2010
1795,HQ668243,701/CQ/CHN/2010
1796,HQ668244,720/CQ/CHN/2010
1797,HQ668245,684/CQ/CHN/2010
1798,HQ668246,478/SD/CHN/2010
1799,HQ668247,1262/HN/CHN/2010
1800,HQ668248,1265/HN/CHN/2010
1801,HQ668249,1239/HN/CHN/2010
1802,HQ668250,497/SD/CHN/2010
1803,HQ668251,442/SD/CHN/2010
1804,HQ668252,157/CQ/CHN/2010
1805,HQ668253,190/CQ/CHN/2010
1806,HQ668254,1207/HN/CHN/2010
1807,HQ668255,1203/HN/CHN/2010
1808,HQ668256,744/CQ/CHN/2010
1809,HQ668257,759/CQ/CHN/2010
1810,HQ668258,760/CQ/CHN/2010
1811,HQ668259,686/CQ/CHN/2010
1812,HQ668260,717/CQ/CHN/2010
1813,HQ668262,667/CQ/CHN/2010
1814,HQ668263,732/CQ/CHN/2010
1815,HQ668264,734/CQ/CHN/2010
1816,HQ668265,767/CQ/CHN/2010
1817,HQ668266,662/CQ/CHN/2010
1818,HQ668267,453/SD/CHN/2010
1819,HQ668268,182/CQ/CHN/2010
1820,HQ668269,365/SD/CHN/2010
1821,HQ668270,655/SD/CHN/2010
1822,HQ668271,462/SD/CHN/2010
1823,HQ668272,1232/HN/CHN/2010
1824,HQ668273,1208/HN/CHN/2010
1825,HQ668274,562/SD/CHN/2010
1826,HQ668275,1211/HN/CHN/2010
1827,HQ668276,1228/HN/CHN/2010
1828,HQ668277,526/CQ/CHN/2010
1829,HQ668278,360/SD/CHN/2010
1830,HQ668279,719/CQ/CHN/2010
1831,HQ668280,469/SD/CHN/2010
1832,HQ668281,393/SD/CHN/2010
1833,HQ668282,604/SD/CHN/2010
1834,HQ668283,636/SD/CHN/2010
1835,HQ668284,527/CQ/CHN/2010
1836,HQ668285,140/CQ/CHN/2010
1837,HQ668286,141/CQ/CHN/2010
1838,HQ668287,783/CQ/CHN/2010
1839,HQ668288,531/CQ/CHN/2010
1840,HQ668289,552/CQ/CHN/2010
1841,HQ668290,378/SD/CHN/2010
1842,HQ668291,670/CQ/CHN/2010
1843,HQ668292,678/CQ/CHN/2010
1844,HQ668293,731/CQ/CHN/2010
1845,HQ668294,784/CQ/CHN/2010
1846,HQ668295,117/CQ/CHN/2010
1847,HQ668296,172/CQ/CHN/2010
1848,HQ668297,835/CQ/CHN/2010
1849,HQ668298,757/CQ/CHN/2010
1850,HQ668299,801/CQ/CHN/2010
1851,HQ668300,802/CQ/CHN/2010
1852,HQ668301,697/CQ/CHN/2010
1853,HQ668302,1256/HN/CHN/2010
1854,HQ668303,1230/HN/CHN/2010
1855,HQ668304,540/CQ/CHN/2010
1856,HQ668305,1226/HN/CHN/2010
1857,HQ668306,443/SD/CHN/2010
1858,HQ668307,729/CQ/CHN/2010
1859,HQ668308,653/SD/CHN/2010
1860,HQ668309,1240/HN/CHN/2010
1861,HQ668310,1206/HN/CHN/2010
1862,HQ668312,1255/HN/CHN/2010
1863,HQ668313,671/CQ/CHN/2010
1864,HQ668314,674/CQ/CHN/2010
1865,HQ668315,345/SD/CHN/2010
1866,HQ668316,781/CQ/CHN/2010
1867,HQ668317,1267/HN/CHN/2010
1868,HQ668318,403/SD/CHN/2010
1869,HQ668319,176/CQ/CHN/2010
1870,HQ668320,690/CQ/CHN/2010
1871,HQ668321,617/SD/CHN/2010
1872,HQ668322,619/SD/CHN/2010
1873,HQ668323,627/SD/CHN/2010
1874,HQ668324,635/SD/CHN/2010
1875,HQ668325,659/CQ/CHN/2010
1876,HQ668326,579/SD/CHN/2010
1877,HQ668327,373/SD/CHN/2010
1878,HQ668328,1247/HN/CHN/2010
1879,HQ668329,716/CQ/CHN/2010
1880,HQ668330,500/SD/CHN/2010
1881,HQ668331,383/SD/CHN/2010
1882,HQ668332,209/SD/CHN/2010
1883,HQ668333,698/CQ/CHN/2010
1884,HQ668334,214/SD/CHN/2010
1885,HQ668335,788/CQ/CHN/2010
1886,HQ668336,661/CQ/CHN/2010
1887,HQ668337,669/CQ/CHN/2010
1888,HQ668338,668/CQ/CHN/2010
1889,HQ668339,679/CQ/CHN/2010
1890,HQ668340,776/CQ/CHN/2010
1891,HQ668341,174/CQ/CHN/2010
1892,HQ668342,444/SD/CHN/2010
1893,HQ668343,618/SD/CHN/2010
1894,HQ668344,736/CQ/CHN/2010
1895,HQ668345,510/CQ/CHN/2010
1896,HQ668346,513/CQ/CHN/2010
1897,HQ668347,156/CQ/CHN/2010
1898,HQ668348,160/CQ/CHN/2010
1899,HQ668349,728/CQ/CHN/2010
1900,HQ668350,544/CQ/CHN/2010
1901,HQ668351,714/CQ/CHN/2010
1902,HQ668352,628/SD/CHN/2010
1903,HQ668353,620/SD/CHN/2010
1904,HQ668354,580/SD/CHN/2010
1905,HQ668355,361/SD/CHN/2010
1906,HQ668356,785/CQ/CHN/2010
1907,HQ668357,496/SD/CHN/2010
1908,HQ668358,704/CQ/CHN/2010
1909,HQ668359,1220/HN/CHN/2010
1910,HQ668360,215/SD/CHN/2010
1911,HQ668361,415/SD/CHN/2010
1912,HQ668362,1257/HN/CHN/2010
1913,HQ668363,351/SD/CHN/2010
1914,HQ668364,245/SD/CHN/2010
1915,HQ668365,395/SD/CHN/2010
1916,HQ668366,336/SD/CHN/2010
1917,HQ668367,341/SD/CHN/2010
1918,HQ668368,333/SD/CHN/2010
1919,HQ668369,419/SD/CHN/2010
1920,HQ668370,343/SD/CHN/2010
1921,HQ668371,677/CQ/CHN/2010
1922,HQ668372,1283/HN/CHN/2010
1923,HQ668373,1281/HN/CHN/2010
1924,HQ668374,1253/HN/CHN/2010
1925,HQ668375,144/CQ/CHN/2010
1926,HQ668376,646/SD/CHN/2010
1927,HQ668377,1225/HN/CHN/2010
1928,HQ668378,676/CQ/CHN/2010
1929,HQ668379,529/CQ/CHN/2010
1930,HQ668380,390/SD/CHN/2010
1931,HQ668381,264/SD/CHN/2010
1932,HQ668382,375/SD/CHN/2010
1933,HQ668383,428/SD/CHN/2010
1934,HQ668384,399/SD/CHN/2010
1935,HQ668385,392/SD/CHN/2010
1936,HQ668386,658/SD/CHN/2010
1937,HQ668387,435/SD/CHN/2010
1938,HQ668388,432/SD/CHN/2010
1939,HQ668389,397/SD/CHN/2010
1940,HQ668390,594/SD/CHN/2010
1941,HQ668391,605/SD/CHN/2010
1942,HQ668392,630/SD/CHN/2010
1943,HQ668393,622/SD/CHN/2010
1944,HQ668394,1202/HN/CHN/2010
1945,HQ668395,673/CQ/CHN/2010
1946,HQ668396,400/SD/CHN/2010
1947,HQ668397,367/SD/CHN/2010
1948,HQ668398,420/SD/CHN/2010
1949,HQ668399,368/SD/CHN/2010
1950,HQ668400,459/SD/CHN/2010
1951,HQ668401,486/SD/CHN/2010
1952,HQ668402,693/CQ/CHN/2010
1953,HQ668403,355/SD/CHN/2010
1954,HQ668404,623/SD/CHN/2010
1955,HQ668405,1242/HN/CHN/2010
1956,HQ668406,818/CQ/CHN/2010
1957,HQ668407,631/SD/CHN/2010
1958,HQ668408,640/SD/CHN/2010
1959,HQ668409,1215/HN/CHN/2010
1960,HQ668410,1224/HN/CHN/2010
1961,HQ668411,572/SD/CHN/2010
1962,HQ668412,348/SD/CHN/2010
1963,HQ668413,1212/HN/CHN/2010
1964,HQ668414,319/SD/CHN/2010
1965,HQ668415,304/SD/CHN/2010
1966,HQ668416,402/SD/CHN/2010
1967,HQ668417,409/SD/CHN/2010
1968,HQ668418,354/SD/CHN/2010
1969,HQ668419,429/SD/CHN/2010
1970,HQ668420,389/SD/CHN/2010
1971,HQ668421,483/SD/CHN/2010
1972,HQ668422,384/SD/CHN/2010
1973,HQ668423,363/SD/CHN/2010
1974,HQ668424,626/SD/CHN/2010
1975,HQ668425,1260/HN/CHN/2010
1976,HQ668426,1213/HN/CHN/2010
1977,HQ668427,1238/HN/CHN/2010
1978,HQ668428,1241/HN/CHN/2010
1979,HQ668429,1234/HN/CHN/2010
1980,HQ668430,1235/HN/CHN/2010
1981,HQ668431,1229/HN/CHN/2010
1982,HQ668432,1222/HN/CHN/2010
1983,HQ668433,613/SD/CHN/2010
1984,HQ668434,238/SD/CHN/2010
1985,HQ668435,1219/HN/CHN/2010
1986,HQ668436,1209/HN/CHN/2010
1987,HQ668437,726/CQ/CHN/2010
1988,HQ668438,251/SD/CHN/2010
1989,HQ668439,152/CQ/CHN/2010
1990,HQ668440,372/SD/CHN/2010
1991,HQ668441,386/SD/CHN/2010
1992,HQ668442,647/SD/CHN/2010
1993,HQ668443,634/SD/CHN/2010
1994,HQ668444,405/SD/CHN/2010
1995,HQ668445,642/SD/CHN/2010
1996,HQ668446,458/SD/CHN/2010
1997,HQ668447,641/SD/CHN/2010
1998,HQ668448,1218/HN/CHN/2010
1999,HQ668449,1259/HN/CHN/2010
2000,HQ668450,338/SD/CHN/2010
2001,HQ668451,1264/HN/CHN/2010
2002,HQ668452,1273/HN/CHN/2010
2003,HQ668453,1231/HN/CHN/2010
2004,HQ668454,1275/HN/CHN/2010
2005,HQ668455,1279/HN/CHN/2010
2006,HQ668456,1268/HN/CHN/2010
2007,HQ668457,1274/HN/CHN/2010
2008,HQ668458,431/SD/CHN/2010
2009,HQ676174,FI12/ns/W/09
2010,HQ676204,JP17/Ac/Y/10
2011,HQ676210,JP31/Sd/W/10
2012,HQ676211,JP32/Sd/W/10
2013,HQ676224,JP45/Sm/L/06
2014,HQ676226,JP47/Sm/L/07
2015,HQ676232,JP53/Yg/W/98
2016,HQ676264,MY47/Sw/A/08
2017,HQ676265,MY48/Sw/A/08
2018,HQ676270,NL03/ns/W/07
2019,HQ676273,NL07/ns/W/07
2020,HQ694982,JK2009
2021,HQ694983,BZ200805
2022,HQ694984,Fuyang200805
2023,HQ694985,MZ2008
2024,HQ694986,MP10-2010
2025,HQ825317,EV71/JN200804
2026,HQ828086,NBChina01
2027,HQ850973,003/XM/2010
2028,HQ882182,FY0805
2029,HQ891923,Shanghai 27-2009
2030,HQ891924,Shanghai 28-2009
2031,HQ891925,Shanghai 36-2009
2032,HQ891926,Shanghai 51-2009
2033,HQ891927,Shanghai 64-2009
2034,HQ891928,Shanghai 117-2009
2035,HQ891929,Shanghai 118-2009
2036,HQ998852,EV71/Henan/106/2009
2037,JF317975,BJ25
2038,JF317976,BJ47
2039,JF317977,BJ65
2040,JF317978,BJ67
2041,JF317979,BJ97
2042,JF317980,BJ108
2043,JF317981,BJ110B
2044,JF317982,BJ110Y
2045,JF317983,BJ366
2046,JF317984,BJ374
2047,JF317985,BJ391
2048,JF317986,BJ398
2049,JF420547,3382
2050,JF420549,02203/Taiwan/2002
2051,JF420551,02205/Taiwan/2002
2052,JF420552,03149/Taiwan/2008
2053,JF420553,03315/Taiwan/2008
2054,JF420554,02969/Taiwan/2008
2055,JF420558,TW-2004-00150
2056,JF420560,TW-2006-01739
2057,JF420562,TW-2006-02202
2058,JF420564,TW-2006-02205
2059,JF420565,TW-2007-00141
2060,JF420566,TW-2007-00190
2061,JF420568,TW-2008-03149
2062,JF420570,TW-2008-03352
2063,JF420571,TW-2008-03382
2064,JF420578,H3/Henan/2008
2065,JF420579,H4/Henan/2008
2066,JF420580,H8/Henan/2008
2067,JF420585,NT5
2068,JF420587,NT15/Jiangsu/2008
2069,JF505389,KM9/09
2070,JF505390,KM11/09
2071,JF505391,KM16/09
2072,JF505392,KM23/09
2073,JF508447,Nanyang01-2010
2074,JF519696,480/GD/China/2009
2075,JF519697,467/GD/China/2009
2076,JF519698,419/GD/China/2009
2077,JF519699,395/GD/China/2009
2078,JF519700,394/GD/China/2009
2079,JF519701,374/GD/China/2009
2080,JF519702,265/GD/China/2009
2081,JF519703,070/GD/China/2009
2082,JF519704,067/GD/China/2009
2083,JF519705,063/GD/China/2009
2084,JF519706,061/GD/China/2009
2085,JF519707,060/GD/China/2009
2086,JF519708,224/GD/China/2010
2087,JF519709,16/GD/China/2010
2088,JF519710,19/GD/China/2010
2089,JF519711,30/GD/China/2010
2090,JF519712,31/GD/China/2010
2091,JF519713,210/GD/China/2010
2092,JF519714,15/GD/China/2010
2093,JF519715,1134/GD/China/2010
2094,JF519716,1131/GD/China/2010
2095,JF519717,1127/GD/China/2010
2096,JF519718,1111/GD/China/2010
2097,JF519719,997/GD/China/2010
2098,JF738000,THA_EV71_002
2099,JF738001,THA-EV71-019
2100,JF738002,THA_EV71_044
2101,JF773194,Kor09-EV71-248cn
2102,JF799986,Guangdong 2009
2103,JF812997,Shanghai10-qp1
2104,JF820312,LCH01
2105,JF820313,LCH02
2106,JF820314,BJ02
2107,JF820315,AH01
2108,JF820316,BJ01
2109,JF894381,MP9-1
2110,JF894382,MP9-2
2111,JF894383,MP10-2
2112,JF913464,EV71/JN200803
2113,JF918554,SHAPHC122F/SH/CHN/08
2114,JF918555,SHAPHC49T/SH/CHN/08
2115,JF918556,SHAPHC79T/SH/CHN/08
2116,JF918557,SHAPHC371T/SH/CHN/09
2117,JF918558,SHAPHC398F/SH/CHN/09
2118,JF918559,SHAPHC382T/SH/CHN/09
2119,JF918560,SHAPHC315T/SH/CHN/09
2120,JF918561,SHAPHC332F/SH/CHN/09
2121,JF918562,SHAPHC363T/SH/CHN/09
2122,JF918563,SHAPHC435T/SH/CHN/10
2123,JF918564,SHAPHC443F/SH/CHN/10
2124,JF918565,SHAPHC460T/SH/CHN/10
2125,JF918566,SHAPHC478F/SH/CHN/10
2126,JF918567,SHAPHC502F/SH/CHN/10
2127,JF918568,SHAPHC521T/SH/CHN/10
2128,JF918569,SHAPHC528F/SH/CHN/10
2129,JF918570,SHAPHC532F/SH/CHN/10
2130,JF918571,SHAPHC534F/SH/CHN/10
2131,JF918572,SHAPHC538F/SH/CHN/10
2132,JF918573,SHAPHC539T/SH/CHN/10
2133,JF918574,SHAPHC540F/SH/CHN/10
2134,JF918575,SHAPHC565T/SH/CHN/10
2135,JF918576,SHAPHC571T/SH/CHN/10
2136,JF918577,SHAPHC578F/SH/CHN/10
2137,JF918578,SHAPHC581F/SH/CHN/10
2138,JF937665,66-Luan(CHN)-10
2139,JF937666,74-Luan(CHN)-10
2140,JF937667,79-Luan(CHN)-10
2141,JF937668,122-Luan(CHN)-10
2142,JF937669,126-Luan(CHN)-10
2143,JF937670,389-Luan(CHN)-10
2144,JF937671,390-Luan(CHN)-10
2145,JF937672,427-Luan(CHN)-10
2146,JF968126,O/HongKong/S03/2001
2147,JF968128,O/HongKong/S05/2001
2148,JF968130,O/HongKong/S09/2001
2149,JQ326306,96200/SD/CHN/96
2150,JN001860,NB/2010/01
2151,JN020147,Luoyang/2011
2152,JN052925,Nanyang/2011-China
2153,JN191177,THA-EV71-110
2154,JN191178,THA-EV71-111
2155,JN191179,THA-EV71-112
2156,JN204005,N-384A
2157,JN204008,N-390
2158,JN204010,N-427A
2159,JN204013,N-446
2160,JN204017,N-451
2161,JN204018,N-471A
2162,JN204019,N-474
2163,JN204020,N-475
2164,JN204021,N-480
2165,JN204022,N-490
2166,JN204025,N-505A
2167,JN204026,N-507
2168,JN204027,N-514
2169,JN204033,N-894
2170,JN204034,N-899
2171,JN204035,N-901A
2172,JN204036,N-903
2173,JN204037,N-905
2174,JN204038,N-906
2175,JN204040,N-918
2176,JN204042,N-955
2177,JN204043,N-963
2178,JN204045,N-987
2179,JN204046,N-993
2180,JN204048,N-1024
2181,JN205801,Hangzhou-3-2008
2182,JN205802,Hangzhou-7-2008
2183,JN205803,Hangzhou-9-2008
2184,JN205804,Hangzhou-8-2008
2185,JN205805,Hangzhou-15-2011
2186,JN205806,Hangzhou-23-2011
2187,JN205807,Hangzhou-40-2011
2188,JN205808,Hangzhou-41-2011
2189,JN230523,Xiangyang-Hubei-09
2190,JN251918,5/EV71/YN/CHN/2010
2191,JN251920,7/EV71/YN/CHN/2010
2192,JN251921,8/EV71/YN/CHN/2010
2193,JN251922,9/EV71/YN/CHN/2010
2194,JN251923,10/EV71/YN/CHN/2010
2195,JN251925,13-EV71-YN-CHN-2010
2196,JN251926,14/EV71/YN/CHN/2010
2197,JN251927,15/EV71/YN/CHN/2010
2198,JN251929,17/EV71/YN/CHN/2010
2199,JN251930,18/EV71/YN/CHN/2010
2200,JN251931,20/EV71/YN/CHN/2010
2201,JN251932,23/EV71/YN/CHN/2010
2202,JN251933,24/EV71/YN/CHN/2010
2203,JN251934,25/EV71/YN/CHN/2010
2204,JN251935,27/EV71/YN/CHN/2010
2205,JN251936,28/EV71/YN/CHN/2010
2206,JN251937,29-EV71-YN-CHN-2010
2207,JN251938,31/EV71/YN/CHN/2010
2208,JN251939,32-EV71-YN-CHN-2010
2209,JN251940,33/EV71/YN/CHN/2010
2210,JN251941,36/EV71/YN/CHN/2010
2211,JN251942,43/EV71/YN/CHN/2010
2212,JN251943,44/EV71/YN/CHN/2010
2213,JN255590,CAF-NMA-03-8
2214,JN256059,G288-927F/HeN/CHN/2009
2215,JN256060,G333-972F/HeN/CHN/2009
2216,JN256061,G398-1037F/HeN/CHN/2009
2217,JN256062,M183-1176F/HeN/CHN/2009
2218,JN256063,M186-1179F/HeN/CHN/2009
2219,JN256064,M188-1181F/HeN/CHN/2009
2220,JN256065,HeB-132/HeB/CHN/2010
2221,JN256066,HeB-310/HeB/CHN/2010
2222,JN256067,SX006/SX/CHN/2010
2223,JN256068,T126/YN/CHN/2010
2224,JN311611,PM-14716-97
2225,JN316067,PM-17557-98
2226,JN316068,PM-17838-98
2227,JN316069,PM-17808-98
2228,JN316070,PM-10749-99
2229,JN316071,PM-14283-97
2230,JN316072,PM-19552-01
2231,JN316073,PM-15948-00
2232,JN316074,PM-25405-03
2233,JN316075,PM-24886-03
2234,JN316076,PM-17113-00
2235,JN316077,PM-17204-00
2236,JN316078,PM-19869-01
2237,JN316079,PM-15774-00
2238,JN316080,PM-17181-00
2239,JN316081,PM-19229-01
2240,JN316082,PM-34589-06
2241,JN316083,PM-26165-03
2242,JN316084,PM-33034-05
2243,JN316085,PM-32286-05
2244,JN316086,PM-32308-05
2245,JN316087,PM-25170-03
2246,JN316088,PM-34242-06
2247,JN316090,PM-1687413-06
2248,JN316091,PM-1657636-06
2249,JN316092,PM-1657640-06
2250,JN316093,PM-35017-06
2251,JN316094,PM-1673313-06
2252,JN316095,PM-17177-00
2253,JN316096,PM-2219140-08
2254,JN316097,PM-17467-00
2255,JN316098,PM-20822-01
2256,JN316099,PM-17164-00
2257,JN316100,PM-17431-00
2258,JN316101,PM-20680-01
2259,JN316102,PM-20045-01
2260,JN316103,PM-20756-01
2261,JN316104,PM-12615-99
2262,JN316105,PM-12627-99
2263,JN316106,PM-12919-99
2264,JN316107,PM-16042-00
2265,JN316108,PM-13091-97
2266,JN316109,PM-13899-97
2267,JN316110,PM-13473-97
2268,JN316111,PM-14716-97
2269,JN408335,1-YN-CHN-2009
2270,JN408336,2-YN-CHN-2009
2271,JN408337,3-YN-CHN-2009
2272,JN408338,4-YN-CHN-2009
2273,JN408339,6-YN-CHN-2009
2274,JN408340,7-YN-CHN-2009
2275,JN408341,8-YN-CHN-2009
2276,JN408342,9-YN-CHN-2009
2277,JN408343,10-YN-CHN-2009
2278,JN408344,11-YN-CHN-2009
2279,JN408345,12-YN-CHN-2009
2280,JN408346,13-YN-CHN-2009
2281,JN408347,15-YN-CHN-2009
2282,JN408348,16-YN-CHN-2009
2283,JN408349,17-YN-CHN-2009
2284,JN408350,18-YN-CHN-2009
2285,JN408351,19-YN-CHN-2009
2286,JN408352,21-YN-CHN-2009
2287,JN408353,22-YN-CHN-2009
2288,JN408354,25-YN-CHN-2009
2289,JN408355,26-YN-CHN-2009
2290,JN408356,27-YN-CHN-2009
2291,JN408357,29-YN-CHN-2009
2292,JN408358,34-YN-CHN-2009
2293,JN646108,NT22/Jiangsu/2008
2294,JN646109,1985/Xiamen/2008
2295,JN712916,SX/EV-4/EV71/2011
2296,JN835271,G224-882F/HeN/CHN/2009
2297,JN835272,G227-885F/HeN/CHN/2009
2298,JN835273,G252-910F/HeN/CHN/2009
2299,JN835274,G256-914F/HeN/CHN/2009
2300,JN835275,G283-922F/HeN/CHN/2009
2301,JN835276,G306-945F/HeN/CHN/2009
2302,JN835277,G348-987F/HeN/CHN/2009
2303,JN835278,G392-1031F/HeN/CHN/2009
2304,JN835279,G400-1039F/HeN/CHN/2009
2305,JN835280,G405-1045F/HeN/CHN/2009
2306,JN835281,G443-1083F/HeN/CHN/2009
2307,JN835282,G523-1157T/HeN/CHN/2009
2308,JN835283,G541-1175F/HeN/CHN/2009
2309,JN835284,M184-1177F/HeN/CHN/2009
2310,JN874553,TW-4215-1998
2311,JN874555,C3-KOR-EV71-01
2312,JN874558,TW-1575-2007
2313,JN896806,TW/NHRI9855/09
2314,JN896809,TW/NHRI9863/09
2315,JN944847,Nj001-JS-CHN2010
2316,JN944854,Nj023-JS-CHN2010
2317,JN944856,Nj025-JS-CHN2010
2318,JN944857,Nj028-JS-CHN2010
2319,JN944859,Nj031-JS-CHN2010
2320,JN944860,Nj033-JS-CHN2010
2321,JN944864,Nj047-JS-CHN2010
2322,JN944865,Nj048-JS-CHN2010
2323,JN964686,EV71/Xiamen/2009
2324,JQ042703,10-123
2325,JQ042704,09-3803
2326,JQ042705,09-3804
2327,JQ315087,266/Cixi/CHN/2010
2328,JQ003960,001/Ningbo/CHN/2003
2329,JQ003959,216/Ningbo/CHN/2003
2330,JQ003970,467/Yuyao/CHN/2010
2331,JQ003968,495/Yuyao/CHN/2010
2332,JQ315074,215/Ningbo/CHN/2003
2333,JQ284022,CX005/Ningbo/CHN/2011
2334,JQ315057,211/Cixi/CHN/2010
2335,JQ003972,182/Yuyao/CHN/2010
2336,JQ315083,192/Cixi/CHN/2010
2337,JQ315086,232/Cixi/CHN/2010
2338,JQ315084,195/Cixi/CHN/2010
2339,JQ003965,299/Yuyao/CHN/2010
2340,JQ315082,186/Cixi/CHN/2010
2341,JQ315059,010/Ningbo/CHN/2003
2342,JQ315081,169/Cixi/CHN/2010
2343,JQ315062,110/Ningbo/CHN/2010
2344,JQ315089,287/Cixi/CHN/2010
2345,JQ315056,16/Cixi/CHN/2010
2346,JQ315088,278/Cixi/CHN/278/2010
2347,JQ315050,030/Cixi/CHN/2010
2348,JQ315090,296/Cixi/CHN/2010
2349,JQ315093,016/Cixi/CHN/2011
2350,JQ003954,110/Ningbo/CHN/2009
2351,JQ315091,012/Cixi/CHN/2011
2352,JQ315092,015/Cixi/CHN/2011
2353,JQ003976,014/Cixi/CHN/2010
2354,JQ003967,009/Yuyao/CHN/2010
2355,JQ003975,070/Cixi/CHN/2010
2356,JQ003977,165/Ningbo/CHN/2010
2357,JQ003978,347/Ningbo/CHN/2009
2358,JQ003953,096/Ningbo/CHN/2010
2359,JQ315054,106/Cixi/CHN/2010
2360,JQ315085,209/Cixi/CHN/2010
2361,JQ315078,004/Ningbo/CHN/2011
2362,JQ315060,012/Ningbo/CHN/2010
2363,JQ003956,044/Ningbo/CHN/2010
2364,JQ315068,044/Ningbo/CHN/2011
2365,JN864022,087/Ningbo/CHN/2009
2366,JQ315064,048/Ningbo/CHN/2009
2367,JQ315072,137/Ningbo/CHN/2009
2368,JN864023,103/Ningbo/CHN/2009
2369,JQ003971,244/Yuyao/CHN/2010
2370,Q315052,066/Cixi/CHN/2010
2371,Q315051,036/Cixi/CHN/2010
2372,JQ315055,127/Cixi/CHN/2010
2373,JQ003966,231/Yuyao/CHN/2010
2374,JN864018,00001/Ningbo/CHN/2010
2375,JN864020,069/Ningbo/CHN/2010
2376,JQ315061,015/Ningbo/CHN/2011
2377,JQ315067,079/Ningbo/CHN/2010
2378,JQ315079,461/Yuyao/CHN/2010
2379,JQ315069,080/Ningbo/CHN/2010
2380,JQ315071,111/Ningbo/CHN/2011
2381,JQ315075,332/Ningbo/CHN/2011
2382,JQ315070,108/Ningbo/CHN/2011
2383,JQ315058,285/Cixi/CHN/2010
2384,JQ315063,046/Ningbo/CHN/2011
2385,JQ003963,455/Yuyao/CHN/2010
2386,JQ315076,042/Yuyao/CHN/2010
2387,JQ003964,454/Yuyao/CHN/2010
2388,JQ003962,457/Yuyao/CHN/2010
2389,JQ003969,476/Yuyao/CHN/2010
2390,JQ003952,033/Ningbo/CHN/2010
2391,JN864021,076/Ningbo/CHN/2009
2392,JN864024,107/Ningbo/CHN/2009
2393,JQ315065,052/Ningbo/CHN/2010
2394,JQ003955,171/Ningbo/CHN/2010
2395,JQ315066,061/Ningbo/CHN/2011
2396,JQ315073,199/Ningbo/CHN/2011
2397,JN168790,001/Ningbo/CHN/2009
2398,JQ003950,116/Ningbo/CHN/2009
2399,JF830007,065/Ningbo/CHN/2010
2400,JQ315077,064/Ningbo/CHN/2010
2401,JQ315080,0163/Cixi/CHN/2010
2402,JQ315053,102/Cixi/CHN/2010
2403,JQ003973,180/Yuyao/CHN/2010
2404,JQ003951,310/Ningbo/CHN/2009
2405,JQ086365,EV71/Ningbo.CHN/107-2/2009
2406,JQ086366,EV71/Ningbo.CHN/061/2011
2407,JQ316638,HQ09231463
2408,JQ410994,EV71/CMU1-2/BJ/CHN/2009
2409,JQ410995,EV71/CMU3-1/BJ/CHN/2009
2410,JQ411000,EV71/CMU21-2/BJ/CHN/2009
2411,JQ411003,EV71/CMU28-2/BJ/CHN/2009
2412,JQ411006,EV71/CMU33-1/BJ/CHN/2009
2413,JQ411008,EV71/CMU46-1/BJ/CHN/2009
2414,JQ411009,EV71/CMU47-1/BJ/CHN/2009
2415,JQ411010,EV71/CMU48-1/BJ/CHN/2009
2416,JQ419491,ensh6-CHN-10
2417,JQ419492,ensh7-CHN-10
2418,JQ419493,ensh8-CHN-10
2419,JQ419494,ensh11-CHN-10
2420,JQ419495,wh28-CHN-10
2421,JQ419496,wh29-CHN-10
2422,JQ419497,wh61-CHN-10
2423,JQ419498,wh62-CHN-10
2424,JQ419499,wh64-CHN-10
2425,JQ621835,C2/EV71/182/PHL/2005
2426,JQ621836,C2/EV71/241/PHL/2002
2427,JQ621837,C2/EV71/255/PHL/2002
2428,JQ621838,C2/EV71/26/PHL/2000
